value,description,name,table
D1,"Late arrival at window, present in Courtroom",repl,inputs/Lookup/tbl_br_DeductCodes.csv
D2,"Late arrival at window, not present in Courtroom",repl,inputs/Lookup/tbl_br_DeductCodes.csv
D3,"Timely arrival at window, late in Courtroom",repl,inputs/Lookup/tbl_br_DeductCodes.csv
D4,Failure to get COI date stamped,repl,inputs/Lookup/tbl_br_DeductCodes.csv
D5,Inadequate interpreter,repl,inputs/Lookup/tbl_br_DeductCodes.csv
D6,"Partial NoShow, non-detained  ($400)",repl,inputs/Lookup/tbl_br_DeductCodes.csv
D7,"Partial NoShow, detained  ($800)",repl,inputs/Lookup/tbl_br_DeductCodes.csv
NA,No Deduction,repl,inputs/Lookup/tbl_br_DeductCodes.csv
NC0,Hearing continued due to SOSi no-show; $0 (no-show damages still assessed),repl,inputs/Lookup/tbl_br_DeductCodes.csv
NC1,Interpretation waived; $250 non-detained/$500 detained (no-show damages not assessed),repl,inputs/Lookup/tbl_br_DeductCodes.csv
NC2,Staff interpreter covered ;$250 non-detained/$500 detained (no-show damages not assessed),repl,inputs/Lookup/tbl_br_DeductCodes.csv
NC3,Another vendor covered ;$250 non-detained/$500 detained (no-show damages not assessed),repl,inputs/Lookup/tbl_br_DeductCodes.csv
NA,No Non-Conformance Fee,repl,inputs/Lookup/tbl_br_DeductCodes.csv
NC4,Hearing continued due to other reason,repl,inputs/Lookup/tbl_br_DeductCodes.csv
NC5,SOS for original language; court proceeds with an alternate language interpreter provided by SOSi,repl,inputs/Lookup/tbl_br_DeductCodes.csv
1,LEGALLY ADMITTED,dec_code,inputs/Lookup/tblDecCode.csv
2,CONDITIONAL GRANT,dec_code,inputs/Lookup/tblDecCode.csv
3,DEPORTED,dec_code,inputs/Lookup/tblDecCode.csv
4,EXCLUDED,dec_code,inputs/Lookup/tblDecCode.csv
5,GRANTED,dec_code,inputs/Lookup/tblDecCode.csv
6,OTHER,dec_code,inputs/Lookup/tblDecCode.csv
7,RELIEF/RESCINDED,dec_code,inputs/Lookup/tblDecCode.csv
8,ALIEN MAINTAINS LEGAL STATUS,dec_code,inputs/Lookup/tblDecCode.csv
9,CASE TERMINATED BY IJ,dec_code,inputs/Lookup/tblDecCode.csv
10,VOLUNTARY DEPARTURE,dec_code,inputs/Lookup/tblDecCode.csv
11,WITHDRAWN,dec_code,inputs/Lookup/tblDecCode.csv
12,REMOVED,dec_code,inputs/Lookup/tblDecCode.csv
GUA,DEPARTMENT OF CORRECTIONS,inmate,inputs/Lookup/tblInmateHousing.csv
AIK,AIKEN CORRECTIONAL CENTER                         ,inmate,inputs/Lookup/tblInmateHousing.csv
ALA,KILBY CORRECTIONS FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
ALB,ALBANY TRANSITIONAL CENTER                        ,inmate,inputs/Lookup/tblInmateHousing.csv
ALD,ALDERSON FEDERAL CORRECTIONAL INSTITUTE           ,inmate,inputs/Lookup/tblInmateHousing.csv
ALL,ALLENDALE CORRECTINAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
ALW,LFCI ALLENWOOD                                    ,inmate,inputs/Lookup/tblInmateHousing.csv
AND,ANDERSON COUNTY JAIL,inmate,inputs/Lookup/tblInmateHousing.csv
ANS,ANSON CORRECTIONAL CENTER                         ,inmate,inputs/Lookup/tblInmateHousing.csv
ARR,"ARRENDALE C.I.,                                   ",inmate,inputs/Lookup/tblInmateHousing.csv
AUG,AUGUSTA                                           ,inmate,inputs/Lookup/tblInmateHousing.csv
AUT,AUTRY CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
