value,n,name,pct
M,64848,ADJ1_CAL_TYPE_TO_BE_REMOVED,0.9562204167096746
I,2958,ADJ1_CAL_TYPE_TO_BE_REMOVED,0.04361738207234174
1030,4,ADJ1_CAL_TYPE_TO_BE_REMOVED,5.8982261084978695e-5
C,3,ADJ1_CAL_TYPE_TO_BE_REMOVED,4.423669581373402e-5
0900,2,ADJ1_CAL_TYPE_TO_BE_REMOVED,2.9491130542489348e-05
0830,1,ADJ1_CAL_TYPE_TO_BE_REMOVED,1.4745565271244674e-5
R,1,ADJ1_CAL_TYPE_TO_BE_REMOVED,1.4745565271244674e-5
P,23585,ADJ1_TELEPHONIC_TO_BE_REMOVED,0.8077331415459433
V,4480,ADJ1_TELEPHONIC_TO_BE_REMOVED,0.1534299119832871
T,1131,ADJ1_TELEPHONIC_TO_BE_REMOVED,0.03873420322613788
01,1,ADJ1_TELEPHONIC_TO_BE_REMOVED,3.424774821055516e-5
02,1,ADJ1_TELEPHONIC_TO_BE_REMOVED,3.424774821055516e-5
09,1,ADJ1_TELEPHONIC_TO_BE_REMOVED,3.424774821055516e-5
M,16386,ADJ2_CAL_TYPE_TO_BE_REMOVED,0.9291222499432978
I,1237,ADJ2_CAL_TYPE_TO_BE_REMOVED,0.0701406214561125
"",11,ADJ2_CAL_TYPE_TO_BE_REMOVED,6.237242004989794e-4
CS,1,ADJ2_CAL_TYPE_TO_BE_REMOVED,5.670220004536176e-5
V3,1,ADJ2_CAL_TYPE_TO_BE_REMOVED,5.670220004536176e-5
P,6586,ADJ2_TELEPHONIC_TO_BE_REMOVED,0.817933432687531
V,1228,ADJ2_TELEPHONIC_TO_BE_REMOVED,0.15250869349230006
T,237,ADJ2_TELEPHONIC_TO_BE_REMOVED,0.029433681073025336
12,1,ADJ2_TELEPHONIC_TO_BE_REMOVED,1.2419274714356682e-4
P,21742157,ADJ_MEDIUM,0.5965872830636674
H,6311078,ADJ_MEDIUM,0.17317089915333073
V,4340342,ADJ_MEDIUM,0.11909548998966037
A,1757208,ADJ_MEDIUM,0.04821637275904781
C,1302426,ADJ_MEDIUM,0.03573752083252273
p,601059,ADJ_MEDIUM,0.016492575036182695
T,380940,ADJ_MEDIUM,0.01045268689809725
',8421,ADJ_MEDIUM,2.310654600957551e-4
W,553,ADJ_MEDIUM,1.5173874769380427e-5
N,32,ADJ_MEDIUM,8.780542362028457e-7
M,2,ADJ_MEDIUM,5.4878389762677854e-8
0,11317316,AGGRAVATE_FELON,0.999997702640779
N,12,AGGRAVATE_FELON,1.0603196404244034e-6
1,7,AGGRAVATE_FELON,6.185197902475688e-7
Y,5,AGGRAVATE_FELON,4.417998501768348e-7
F,1,AGGRAVATE_FELON,8.835997003536696e-8
S,1,AGGRAVATE_FELON,8.835997003536696e-8
X,533739,APPEAL_NOT_FILED,0.9233663647246885
X,28538,APPEAL_NOT_FILED,0.04937062743496945
X,15738,APPEAL_NOT_FILED,0.027226677923174337
A,11,APPEAL_NOT_FILED,1.9029956611698926e-5
N,3,APPEAL_NOT_FILED,5.189988166826979e-6
0,2,APPEAL_NOT_FILED,3.4599921112179862e-6
N,2,APPEAL_NOT_FILED,3.4599921112179862e-6
A,1,APPEAL_NOT_FILED,1.7299960556089931e-6
I,1,APPEAL_NOT_FILED,1.7299960556089931e-6
T,1,APPEAL_NOT_FILED,1.7299960556089931e-6
A,240816,APPEAL_REVD,0.7465010090113549
I,53275,APPEAL_REVD,0.16514617490150127
B,28361,APPEAL_REVD,0.08791573282743272
O,130,APPEAL_REVD,4.02984565691134e-4
0000000000,5,APPEAL_REVD,1.5499406372735923e-5
"",2,APPEAL_REVD,6.1997625490943695e-6
,1,APPEAL_REVD,3.0998812745471848e-6
0000001500,1,APPEAL_REVD,3.0998812745471848e-6
0000010000,1,APPEAL_REVD,3.0998812745471848e-6
R,1,APPEAL_REVD,3.0998812745471848e-6
A,1086312,APPEAL_RSVD,0.7068349396304693
I,217579,APPEAL_RSVD,0.1415729913043931
B,143487,APPEAL_RSVD,0.09336325566021285
A,50932,APPEAL_RSVD,0.033140126543073314
B,16719,APPEAL_RSVD,0.010878618072599598
I,14176,APPEAL_RSVD,0.009223954171731078
O,7393,APPEAL_RSVD,0.004810432646134867
O,258,APPEAL_RSVD,1.6787388376880773e-4
,3,APPEAL_RSVD,1.952021904288462e-6
"",2,APPEAL_RSVD,1.301347936192308e-6
,1,APPEAL_RSVD,6.50673968096154e-7
,1,APPEAL_RSVD,6.50673968096154e-7
,1,APPEAL_RSVD,6.50673968096154e-7
2,1,APPEAL_RSVD,6.50673968096154e-7
C,1,APPEAL_RSVD,6.50673968096154e-7
F,1,APPEAL_RSVD,6.50673968096154e-7
X,1,APPEAL_RSVD,6.50673968096154e-7
W,5211522,ASSIGNMENT_PATH,0.8525696322244604
A,868853,ASSIGNMENT_PATH,0.1421384544989197
F,32347,ASSIGNMENT_PATH,0.005291749683406234
--,1,ASSIGNMENT_PATH,1.6359321369543491e-7
0,42565782,BLNCLOCKOVERRIDE,0.9977438955556547
1,96250,BLNCLOCKOVERRIDE,0.002256104444345267
4A,95387,BLNDELETED,0.9991724802547504
4B,79,BLNDELETED,8.275197452496176e-4
1,18852847,BLNPRIMEATTY,0.7742170767398958
0,5498007,BLNPRIMEATTY,0.22578292326010413
P,107458,BOND_HEARING_TELEPHONIC,0.8061788691079051
V,16155,BOND_HEARING_TELEPHONIC,0.12119916274673088
T,9678,BOND_HEARING_TELEPHONIC,0.07260696360649097
DC,1,BOND_HEARING_TELEPHONIC,7.502269436504543e-6
DES,1,BOND_HEARING_TELEPHONIC,7.502269436504543e-6
BB,1089295,BOND_TYPE,0.7515769181410098
BD,329972,BOND_TYPE,0.22766958338450585
SB,30071,BOND_TYPE,0.02074797874351604
EAZ,3,BOND_TYPE,2.0698991131172268e-6
1998-05-07 00:00:00.000,1,BOND_TYPE,6.899663710390756e-7
CHI,1,BOND_TYPE,6.899663710390756e-7
KRO,1,BOND_TYPE,6.899663710390756e-7
OMA,1,BOND_TYPE,6.899663710390756e-7
PIS,1,BOND_TYPE,6.899663710390756e-7
M,32553807,CAL_TYPE,0.7633147678436847
I,10089563,CAL_TYPE,0.23657793507804573
N,3112,CAL_TYPE,7.296951651551987e-5
R,1350,CAL_TYPE,3.1654513912580926e-5
C,71,CAL_TYPE,1.6647929539209227e-6
S,25,CAL_TYPE,5.86194702084832e-7
T,11,CAL_TYPE,2.5792566891732603e-7
E,4,CAL_TYPE,9.379115233357311e-8
0,2,CAL_TYPE,4.6895576166786553e-8
6,1,CAL_TYPE,2.3447788083393277e-8
UC,187327,CASEPRIORITY_CODE,0.5542858495506878
AWC/ATD,105557,CASEPRIORITY_CODE,0.3123348552051864
CR,19226,CASEPRIORITY_CODE,0.05688822083021414
RBC/D,16536,CASEPRIORITY_CODE,0.04892872254490903
AWC/D,9313,CASEPRIORITY_CODE,0.027556434026411333
F,1,CASEPRIORITY_CODE,2.9589212956524568e-06
N,1,CASEPRIORITY_CODE,2.9589212956524568e-06
RMV,13512456,CASE_TYPE,0.48789748519215026
RMV,10386435,CASE_TYPE,0.37502549622450065
DEP,1455103,CASE_TYPE,0.05253975253614542
DEP,1107027,CASE_TYPE,0.03997168903564315
EXC,259543,CASE_TYPE,0.009371381264754997
EXC,207080,CASE_TYPE,0.007477087158218349
CFR,205845,CASE_TYPE,0.007432494717420591
CFR,203974,CASE_TYPE,0.007364938072292976
DDC,128234,CASE_TYPE,0.004630175751627254
WHO,58901,CASE_TYPE,0.0021267525145171867
WHO,41346,CASE_TYPE,0.001492889924877805
RFR,36451,CASE_TYPE,0.0013161449874648302
RFR,35745,CASE_TYPE,0.001290653276369108
AOC,27328,CASE_TYPE,9.86738641393621e-4
AOC,19555,CASE_TYPE,7.060770686640903e-4
REC,2837,CASE_TYPE,1.0243623849654943e-4
REC,2491,CASE_TYPE,8.99431336252748e-5
CSR,1385,CASE_TYPE,5.000852672461084e-5
CSR,1330,CASE_TYPE,4.802262855143135e-5
MAA,1158,CASE_TYPE,4.1812183355306394e-5
NAC,488,CASE_TYPE,1.7620332882028946e-5
NAC,375,CASE_TYPE,1.3540214817132899e-5
CDR,48,CASE_TYPE,1.733147496593011e-6
CDR,43,CASE_TYPE,1.5526112990312392e-6
D,26,CASE_TYPE,9.387882273212144e-7
0,23,CASE_TYPE,8.304665087841512e-7
N,20,CASE_TYPE,7.22144790247088e-7
00,8,CASE_TYPE,2.888579160988352e-7
R,8,CASE_TYPE,2.888579160988352e-7
01,4,CASE_TYPE,1.444289580494176e-7
AOL,2,CASE_TYPE,7.22144790247088e-8
AOL,2,CASE_TYPE,7.22144790247088e-8
C,2,CASE_TYPE,7.22144790247088e-8
02,1,CASE_TYPE,3.61072395123544e-8
DCC,1,CASE_TYPE,3.61072395123544e-8
DCC,1,CASE_TYPE,3.61072395123544e-8
T,1,CASE_TYPE,3.61072395123544e-8
S,10370276,CHG_STATUS,0.744795904061924
O,2985236,CHG_STATUS,0.21440042149873367
N,415035,CHG_STATUS,0.02980792102759277
W,153061,CHG_STATUS,0.01099288060140561
,36,CHG_STATUS,2.585529309560253e-6
s,2,CHG_STATUS,1.4364051719779183e-7
w,2,CHG_STATUS,1.4364051719779183e-7
S,142461,CORRECTIONAL_FAC,0.4984848908981483
D,81156,CORRECTIONAL_FAC,0.28397273503436116
F,57359,CORRECTIONAL_FAC,0.20070471818270885
M,4394,CORRECTIONAL_FAC,0.015375033241423712
3,418,CORRECTIONAL_FAC,0.0014626226433580136
N,14008165,CRIM_IND,0.9190690743000989
Y,1169619,CRIM_IND,0.0767381489020016
N,50420,CRIM_IND,0.0033080323315873984
Y,13461,CRIM_IND,8.831698376735019e-4
LOS,7,CRIM_IND,4.592666862576713e-7
D,5,CRIM_IND,3.2804763304119377e-7
LAN,3,CRIM_IND,1.9682857982471628e-7
BOS,2,CRIM_IND,1.3121905321647752e-7
ELP,1,CRIM_IND,6.560952660823876e-8
F,1,CRIM_IND,6.560952660823876e-8
HUN,1,CRIM_IND,6.560952660823876e-8
NYC,1,CRIM_IND,6.560952660823876e-8
S,1,CRIM_IND,6.560952660823876e-8
SDE,1,CRIM_IND,6.560952660823876e-8
SNA,1,CRIM_IND,6.560952660823876e-8
N,7916001,CUSTODY,0.37052500193898386
N,6640448,CUSTODY,0.31082007292264385
D,2760162,CUSTODY,0.12919516185027133
D,1681141,CUSTODY,0.07868932460780453
R,1329231,CUSTODY,0.0622174402014802
R,1037211,CUSTODY,0.04854883264746119
SP,73,CUSTODY,3.4169178530353676e-6
ENG,4,CUSTODY,1.8722837550878725e-7
MAN,2,CUSTODY,9.361418775439363e-8
POR,2,CUSTODY,9.361418775439363e-8
UR,2,CUSTODY,9.361418775439363e-8
AR,1,CUSTODY,4.680709387719681e-8
CRE,1,CUSTODY,4.680709387719681e-8
FOO,1,CUSTODY,4.680709387719681e-8
GEO,1,CUSTODY,4.680709387719681e-8
