"zcta","state","stab","ZIPName","pop20","afact2","afact"
"ZIP census tabulation area","State code","State abbr.","ZIP Code name","Total population (2020 Census)","state-to-zcta allocation factor","zcta-to-state allocation factor"
" ","01","AL","[not in a ZCTA]",5,0,0.0006 
" ","02","AK","[not in a ZCTA]",1234,0.0017,0.144 
" ","04","AZ","[not in a ZCTA]",651,0.0001,0.076 
" ","05","AR","[not in a ZCTA]",46,0,0.0054 
" ","06","CA","[not in a ZCTA]",1481,0,0.1728 
" ","12","FL","[not in a ZCTA]",84,0,0.0098 
" ","13","GA","[not in a ZCTA]",17,0,0.002 
" ","15","HI","[not in a ZCTA]",153,0.0001,0.0179 
" ","16","ID","[not in a ZCTA]",205,0.0001,0.0239 
" ","19","IA","[not in a ZCTA]",2,0,0.0002 
" ","20","KS","[not in a ZCTA]",1,0,0.0001 
" ","21","KY","[not in a ZCTA]",7,0,0.0008 
" ","22","LA","[not in a ZCTA]",135,0,0.0158 
" ","23","ME","[not in a ZCTA]",52,0,0.0061 
" ","25","MA","[not in a ZCTA]",13,0,0.0015 
" ","26","MI","[not in a ZCTA]",14,0,0.0016 
" ","27","MN","[not in a ZCTA]",14,0,0.0016 
" ","28","MS","[not in a ZCTA]",46,0,0.0054 
" ","30","MT","[not in a ZCTA]",25,0,0.0029 
" ","32","NV","[not in a ZCTA]",779,0.0003,0.0909 
" ","35","NM","[not in a ZCTA]",604,0.0003,0.0705 
" ","36","NY","[not in a ZCTA]",232,0,0.0271 
" ","39","OH","[not in a ZCTA]",7,0,0.0008 
" ","40","OK","[not in a ZCTA]",59,0,0.0069 
" ","41","OR","[not in a ZCTA]",304,0.0001,0.0355 
" ","44","RI","[not in a ZCTA]",1,0,0.0001 
" ","48","TX","[not in a ZCTA]",1242,0,0.1449 
" ","49","UT","[not in a ZCTA]",614,0.0002,0.0717 
" ","51","VA","[not in a ZCTA]",7,0,0.0008 
" ","53","WA","[not in a ZCTA]",90,0,0.0105 
" ","55","WI","[not in a ZCTA]",7,0,0.0008 
" ","56","WY","[not in a ZCTA]",399,0.0007,0.0466 
" ","72","PR","[not in a ZCTA]",39,0,0.0046 
"00601","72","PR","Adjuntas, PR",17242,0.0052,1 
"00602","72","PR","Aguada, PR",37548,0.0114,1 
"00603","72","PR","Aguadilla, PR",49804,0.0152,1 
