"zcta","county","CountyName","ZIPName","pop20","afact2","afact"
"ZIP census tabulation area","County code","County name","ZIP Code name","Total population (2020 Census)","county-to-zcta allocation factor","zcta-to-county allocation factor"
" ","01029","Cleburne AL","[not in a ZCTA]",5,0.0003,0.0006 
" ","02013","Aleutians East Borough AK","[not in a ZCTA]",10,0.0029,0.0012 
" ","02016","Aleutians West Census Area AK","[not in a ZCTA]",235,0.0449,0.0274 
" ","02050","Bethel Census Area AK","[not in a ZCTA]",126,0.0068,0.0147 
" ","02063","Chugach Census Area AK","[not in a ZCTA]",21,0.003,0.0025 
" ","02066","Copper River Census Area AK","[not in a ZCTA]",3,0.0011,0.0004 
" ","02068","Denali Borough AK","[not in a ZCTA]",6,0.0037,0.0007 
" ","02070","Dillingham Census Area AK","[not in a ZCTA]",1,0.0002,0.0001 
" ","02090","Fairbanks North Star Borough AK","[not in a ZCTA]",33,0.0003,0.0039 
" ","02105","Hoonah-Angoon Census Area","[not in a ZCTA]",47,0.0199,0.0055 
" ","02110","Juneau Borough AK","[not in a ZCTA]",56,0.0017,0.0065 
" ","02122","Kenai Peninsula Borough AK","[not in a ZCTA]",21,0.0004,0.0025 
" ","02130","Ketchikan Gateway Borough AK","[not in a ZCTA]",6,0.0004,0.0007 
" ","02150","Kodiak Island Borough AK","[not in a ZCTA]",33,0.0025,0.0039 
" ","02158","Kusilvak Census Area AK (N)","[not in a ZCTA]",117,0.014,0.0137 
" ","02164","Lake and Peninsula Borough AK","[not in a ZCTA]",24,0.0163,0.0028 
" ","02170","Matanuska-Susitna Borough AK","[not in a ZCTA]",24,0.0002,0.0028 
" ","02180","Nome Census Area AK","[not in a ZCTA]",32,0.0032,0.0037 
" ","02185","North Slope Borough AK","[not in a ZCTA]",245,0.0222,0.0286 
" ","02188","Northwest Arctic Borough AK","[not in a ZCTA]",81,0.0104,0.0095 
" ","02195","Petersburg Census Area AK","[not in a ZCTA]",6,0.0018,0.0007 
" ","02198","Prince of Wales-Hyder Census Area AK","[not in a ZCTA]",20,0.0035,0.0023 
" ","02220","Sitka Borough AK","[not in a ZCTA]",12,0.0014,0.0014 
" ","02240","Southeast Fairbanks Census Area AK","[not in a ZCTA]",10,0.0015,0.0012 
" ","02282","Yakutat Borough AK","[not in a ZCTA]",5,0.0076,0.0006 
" ","02290","Yukon-Koyukuk Census Area AK","[not in a ZCTA]",60,0.0112,0.007 
" ","04001","Apache AZ","[not in a ZCTA]",251,0.0038,0.0293 
" ","04005","Coconino AZ","[not in a ZCTA]",114,0.0008,0.0133 
" ","04007","Gila AZ","[not in a ZCTA]",13,0.0002,0.0015 
" ","04009","Graham AZ","[not in a ZCTA]",26,0.0007,0.003 
" ","04013","Maricopa AZ","[not in a ZCTA]",40,0,0.0047 
" ","04015","Mohave AZ","[not in a ZCTA]",27,0.0001,0.0032 
" ","04017","Navajo AZ","[not in a ZCTA]",111,0.001,0.013 
" ","04021","Pinal AZ","[not in a ZCTA]",51,0.0001,0.006 
" ","04025","Yavapai AZ","[not in a ZCTA]",17,0.0001,0.002 
" ","04027","Yuma AZ","[not in a ZCTA]",1,0,0.0001 
" ","05051","Garland AR","[not in a ZCTA]",3,0,0.0004 
" ","05061","Howard AR","[not in a ZCTA]",1,0.0001,0.0001 
" ","05093","Mississippi AR","[not in a ZCTA]",3,0.0001,0.0004 
" ","05105","Perry AR","[not in a ZCTA]",2,0.0002,0.0002 
" ","05113","Polk AR","[not in a ZCTA]",6,0.0003,0.0007 
" ","05119","Pulaski AR","[not in a ZCTA]",18,0,0.0021 
" ","05131","Sebastian AR","[not in a ZCTA]",8,0.0001,0.0009 
" ","05133","Sevier AR","[not in a ZCTA]",2,0.0001,0.0002 
" ","05149","Yell AR","[not in a ZCTA]",3,0.0001,0.0004 
" ","06003","Alpine CA","[not in a ZCTA]",3,0.0025,0.0004 
" ","06007","Butte CA","[not in a ZCTA]",16,0.0001,0.0019 
" ","06013","Contra Costa CA","[not in a ZCTA]",3,0,0.0004 
" ","06015","Del Norte CA","[not in a ZCTA]",11,0.0004,0.0013 
" ","06017","El Dorado CA","[not in a ZCTA]",17,0.0001,0.002 
" ","06019","Fresno CA","[not in a ZCTA]",51,0.0001,0.006 
" ","06021","Glenn CA","[not in a ZCTA]",1,0,0.0001 
" ","06023","Humboldt CA","[not in a ZCTA]",23,0.0002,0.0027 
" ","06027","Inyo CA","[not in a ZCTA]",59,0.0031,0.0069 
" ","06029","Kern CA","[not in a ZCTA]",143,0.0002,0.0167 
" ","06031","Kings CA","[not in a ZCTA]",3,0,0.0004 
" ","06035","Lassen CA","[not in a ZCTA]",19,0.0006,0.0022 
" ","06037","Los Angeles CA","[not in a ZCTA]",170,0,0.0198 
" ","06039","Madera CA","[not in a ZCTA]",5,0,0.0006 
" ","06045","Mendocino CA","[not in a ZCTA]",31,0.0003,0.0036 
" ","06047","Merced CA","[not in a ZCTA]",33,0.0001,0.0039 
" ","06049","Modoc CA","[not in a ZCTA]",17,0.002,0.002 
" ","06051","Mono CA","[not in a ZCTA]",39,0.003,0.0046 
" ","06053","Monterey CA","[not in a ZCTA]",22,0.0001,0.0026 
" ","06057","Nevada CA","[not in a ZCTA]",29,0.0003,0.0034 
" ","06061","Placer CA","[not in a ZCTA]",11,0,0.0013 
" ","06063","Plumas CA","[not in a ZCTA]",81,0.0041,0.0095 
" ","06065","Riverside CA","[not in a ZCTA]",14,0,0.0016 
" ","06069","San Benito CA","[not in a ZCTA]",22,0.0003,0.0026 
" ","06071","San Bernardino CA","[not in a ZCTA]",62,0,0.0072 
" ","06073","San Diego CA","[not in a ZCTA]",135,0,0.0158 
" ","06075","San Francisco CA","[not in a ZCTA]",32,0,0.0037 
" ","06079","San Luis Obispo CA","[not in a ZCTA]",10,0,0.0012 
" ","06081","San Mateo CA","[not in a ZCTA]",30,0,0.0035 
" ","06083","Santa Barbara CA","[not in a ZCTA]",29,0.0001,0.0034 
" ","06085","Santa Clara CA","[not in a ZCTA]",42,0,0.0049 
" ","06089","Shasta CA","[not in a ZCTA]",21,0.0001,0.0025 
" ","06091","Sierra CA","[not in a ZCTA]",35,0.0108,0.0041 
" ","06093","Siskiyou CA","[not in a ZCTA]",6,0.0001,0.0007 
" ","06103","Tehama CA","[not in a ZCTA]",12,0.0002,0.0014 
" ","06105","Trinity CA","[not in a ZCTA]",175,0.0109,0.0204 
" ","06107","Tulare CA","[not in a ZCTA]",18,0,0.0021 
" ","06109","Tuolumne CA","[not in a ZCTA]",41,0.0007,0.0048 
" ","06111","Ventura CA","[not in a ZCTA]",10,0,0.0012 
" ","12021","Collier FL","[not in a ZCTA]",15,0,0.0018 
" ","12029","Dixie FL","[not in a ZCTA]",7,0.0004,0.0008 
" ","12033","Escambia FL","[not in a ZCTA]",2,0,0.0002 
" ","12037","Franklin FL","[not in a ZCTA]",6,0.0005,0.0007 
" ","12067","Lafayette FL","[not in a ZCTA]",12,0.0015,0.0014 
" ","12075","Levy FL","[not in a ZCTA]",7,0.0002,0.0008 
" ","12087","Monroe FL","[not in a ZCTA]",25,0.0003,0.0029 
" ","12113","Santa Rosa FL","[not in a ZCTA]",5,0,0.0006 
" ","12123","Taylor FL","[not in a ZCTA]",5,0.0002,0.0006 
" ","13039","Camden GA","[not in a ZCTA]",11,0.0002,0.0013 
" ","13065","Clinch GA","[not in a ZCTA]",6,0.0009,0.0007 
" ","15001","Hawaii HI","[not in a ZCTA]",32,0.0002,0.0037 
" ","15007","Kauai HI","[not in a ZCTA]",121,0.0017,0.0141 
" ","16003","Adams ID","[not in a ZCTA]",4,0.0009,0.0005 
" ","16011","Bingham ID","[not in a ZCTA]",43,0.0009,0.005 
" ","16025","Camas ID","[not in a ZCTA]",3,0.0028,0.0004 
" ","16029","Caribou ID","[not in a ZCTA]",8,0.0011,0.0009 
" ","16031","Cassia ID","[not in a ZCTA]",8,0.0003,0.0009 
" ","16033","Clark ID","[not in a ZCTA]",15,0.019,0.0018 
" ","16035","Clearwater ID","[not in a ZCTA]",21,0.0024,0.0025 
" ","16039","Elmore ID","[not in a ZCTA]",2,0.0001,0.0002 
" ","16047","Gooding ID","[not in a ZCTA]",8,0.0005,0.0009 
" ","16049","Idaho ID","[not in a ZCTA]",30,0.0018,0.0035 
" ","16051","Jefferson ID","[not in a ZCTA]",9,0.0003,0.0011 
" ","16065","Madison ID","[not in a ZCTA]",3,0.0001,0.0004 
" ","16073","Owyhee ID","[not in a ZCTA]",20,0.0017,0.0023 
" ","16079","Shoshone ID","[not in a ZCTA]",5,0.0004,0.0006 
" ","16083","Twin Falls ID","[not in a ZCTA]",11,0.0001,0.0013 
" ","16085","Valley ID","[not in a ZCTA]",15,0.0013,0.0018 
" ","19005","Allamakee IA","[not in a ZCTA]",2,0.0001,0.0002 
" ","20161","Riley KS","[not in a ZCTA]",1,0,0.0001 
" ","21163","Meade KY","[not in a ZCTA]",7,0.0002,0.0008 
" ","22045","Iberia Parish LA","[not in a ZCTA]",7,0.0001,0.0008 
" ","22047","Iberville Parish LA","[not in a ZCTA]",10,0.0003,0.0012 
" ","22051","Jefferson Parish LA","[not in a ZCTA]",6,0,0.0007 
" ","22075","Plaquemines Parish LA","[not in a ZCTA]",9,0.0004,0.0011 
" ","22089","St. Charles Parish LA","[not in a ZCTA]",5,0.0001,0.0006 
" ","22093","St. James Parish LA","[not in a ZCTA]",6,0.0003,0.0007 
" ","22095","St. John the Baptist Parish LA","[not in a ZCTA]",3,0.0001,0.0004 
" ","22099","St. Martin Parish LA","[not in a ZCTA]",44,0.0008,0.0051 
" ","22103","St. Tammany Parish LA","[not in a ZCTA]",19,0.0001,0.0022 
" ","22109","Terrebonne Parish LA","[not in a ZCTA]",8,0.0001,0.0009 
" ","22113","Vermilion Parish LA","[not in a ZCTA]",17,0.0003,0.002 
" ","22125","West Feliciana Parish LA","[not in a ZCTA]",1,0.0001,0.0001 
" ","23003","Aroostook ME","[not in a ZCTA]",12,0.0002,0.0014 
" ","23009","Hancock ME","[not in a ZCTA]",3,0.0001,0.0004 
" ","23015","Lincoln ME","[not in a ZCTA]",3,0.0001,0.0004 
" ","23021","Piscataquis ME","[not in a ZCTA]",8,0.0005,0.0009 
" ","23025","Somerset ME","[not in a ZCTA]",3,0.0001,0.0004 
" ","23029","Washington ME","[not in a ZCTA]",23,0.0007,0.0027 
" ","25001","Barnstable MA","[not in a ZCTA]",1,0,0.0001 
" ","25023","Plymouth MA","[not in a ZCTA]",12,0,0.0014 
" ","26079","Kalkaska MI","[not in a ZCTA]",4,0.0002,0.0005 
" ","26089","Leelanau MI","[not in a ZCTA]",3,0.0001,0.0004 
" ","26113","Missaukee MI","[not in a ZCTA]",2,0.0001,0.0002 
" ","26135","Oscoda MI","[not in a ZCTA]",2,0.0002,0.0002 
" ","26143","Roscommon MI","[not in a ZCTA]",3,0.0001,0.0004 
" ","27007","Beltrami MN","[not in a ZCTA]",12,0.0003,0.0014 
" ","27077","Lake of the Woods MN","[not in a ZCTA]",2,0.0005,0.0002 
" ","28027","Coahoma MS","[not in a ZCTA]",1,0,0.0001 
" ","28045","Hancock MS","[not in a ZCTA]",45,0.001,0.0053 
" ","30003","Big Horn MT","[not in a ZCTA]",17,0.0013,0.002 
" ","30005","Blaine MT","[not in a ZCTA]",4,0.0006,0.0005 
" ","30029","Flathead MT","[not in a ZCTA]",4,0,0.0005 
" ","32001","Churchill NV","[not in a ZCTA]",2,0.0001,0.0002 
" ","32003","Clark NV","[not in a ZCTA]",12,0,0.0014 
" ","32007","Elko NV","[not in a ZCTA]",353,0.0066,0.0412 
" ","32009","Esmeralda NV","[not in a ZCTA]",6,0.0082,0.0007 
" ","32011","Eureka NV","[not in a ZCTA]",31,0.0167,0.0036 
" ","32013","Humboldt NV","[not in a ZCTA]",37,0.0021,0.0043 
" ","32015","Lander NV","[not in a ZCTA]",13,0.0023,0.0015 
" ","32017","Lincoln NV","[not in a ZCTA]",6,0.0013,0.0007 
" ","32021","Mineral NV","[not in a ZCTA]",23,0.0051,0.0027 
" ","32023","Nye NV","[not in a ZCTA]",105,0.002,0.0123 
" ","32027","Pershing NV","[not in a ZCTA]",39,0.0059,0.0046 
" ","32033","White Pine NV","[not in a ZCTA]",152,0.0167,0.0177 
" ","35003","Catron NM","[not in a ZCTA]",62,0.0173,0.0072 
" ","35006","Cibola NM","[not in a ZCTA]",77,0.0028,0.009 
" ","35007","Colfax NM","[not in a ZCTA]",10,0.0008,0.0012 
" ","35013","Dona Ana NM","[not in a ZCTA]",8,0,0.0009 
" ","35031","McKinley NM","[not in a ZCTA]",133,0.0018,0.0155 
" ","35033","Mora NM","[not in a ZCTA]",13,0.0031,0.0015 
" ","35035","Otero NM","[not in a ZCTA]",4,0.0001,0.0005 
" ","35039","Rio Arriba NM","[not in a ZCTA]",47,0.0012,0.0055 
" ","35043","Sandoval NM","[not in a ZCTA]",15,0.0001,0.0018 
" ","35045","San Juan NM","[not in a ZCTA]",148,0.0012,0.0173 
" ","35047","San Miguel NM","[not in a ZCTA]",5,0.0002,0.0006 
" ","35051","Sierra NM","[not in a ZCTA]",5,0.0004,0.0006 
" ","35053","Socorro NM","[not in a ZCTA]",40,0.0024,0.0047 
" ","35055","Taos NM","[not in a ZCTA]",36,0.001,0.0042 
" ","35061","Valencia NM","[not in a ZCTA]",1,0,0.0001 
" ","36005","Bronx NY","[not in a ZCTA]",4,0,0.0005 
" ","36027","Dutchess NY","[not in a ZCTA]",4,0,0.0005 
" ","36033","Franklin NY","[not in a ZCTA]",5,0.0001,0.0006 
" ","36045","Jefferson NY","[not in a ZCTA]",3,0,0.0004 
" ","36061","New York NY","[not in a ZCTA]",112,0.0001,0.0131 
" ","36075","Oswego NY","[not in a ZCTA]",4,0,0.0005 
" ","36081","Queens NY","[not in a ZCTA]",23,0,0.0027 
" ","36103","Suffolk NY","[not in a ZCTA]",13,0,0.0015 
" ","36111","Ulster NY","[not in a ZCTA]",9,0,0.0011 
" ","36119","Westchester NY","[not in a ZCTA]",54,0.0001,0.0063 
" ","36123","Yates NY","[not in a ZCTA]",1,0,0.0001 
" ","39123","Ottawa OH","[not in a ZCTA]",7,0.0002,0.0008 
" ","40031","Comanche OK","[not in a ZCTA]",6,0,0.0007 
" ","40089","McCurtain OK","[not in a ZCTA]",47,0.0015,0.0055 
" ","40121","Pittsburg OK","[not in a ZCTA]",5,0.0001,0.0006 
" ","40127","Pushmataha OK","[not in a ZCTA]",1,0.0001,0.0001 
" ","41001","Baker OR","[not in a ZCTA]",4,0.0002,0.0005 
" ","41009","Columbia OR","[not in a ZCTA]",2,0,0.0002 
" ","41013","Crook OR","[not in a ZCTA]",13,0.0005,0.0015 
" ","41017","Deschutes OR","[not in a ZCTA]",45,0.0002,0.0053 
" ","41019","Douglas OR","[not in a ZCTA]",12,0.0001,0.0014 
" ","41023","Grant OR","[not in a ZCTA]",1,0.0001,0.0001 
" ","41025","Harney OR","[not in a ZCTA]",7,0.0009,0.0008 
" ","41029","Jackson OR","[not in a ZCTA]",36,0.0002,0.0042 
" ","41031","Jefferson OR","[not in a ZCTA]",14,0.0006,0.0016 
" ","41035","Klamath OR","[not in a ZCTA]",61,0.0009,0.0071 
" ","41037","Lake OR","[not in a ZCTA]",34,0.0042,0.004 
" ","41039","Lane OR","[not in a ZCTA]",20,0.0001,0.0023 
" ","41043","Linn OR","[not in a ZCTA]",4,0,0.0005 
" ","41045","Malheur OR","[not in a ZCTA]",5,0.0002,0.0006 
" ","41057","Tillamook OR","[not in a ZCTA]",7,0.0003,0.0008 
" ","41059","Umatilla OR","[not in a ZCTA]",24,0.0003,0.0028 
" ","41061","Union OR","[not in a ZCTA]",4,0.0002,0.0005 
" ","41063","Wallowa OR","[not in a ZCTA]",3,0.0004,0.0004 
